id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,area_m,raion_popul,green_zone_part,indust_part,children_preschool,preschool_quota,preschool_education_centers_raion,children_school,school_quota,school_education_centers_raion,school_education_centers_top_20_raion,healthcare_centers_raion,university_top_20_raion,sport_objects_raion,additional_education_raion,culture_objects_top_25,culture_objects_top_25_raion,shopping_centers_raion,office_raion,thermal_power_plant_raion,incineration_raion,oil_chemistry_raion,radiation_raion,railroad_terminal_raion,big_market_raion,nuclear_reactor_raion,detention_facility_raion,full_all,male_f,female_f,young_all,young_male,young_female,work_all,work_male,work_female,ekder_all,ekder_male,ekder_female,0_6_all,0_6_male,0_6_female,7_14_all,7_14_male,7_14_female,0_17_all,0_17_male,0_17_female,16_29_all,16_29_male,16_29_female,0_13_all,0_13_male,0_13_female,raion_build_count_with_material_info,build_count_block,build_count_wood,build_count_frame,build_count_brick,build_count_monolith,build_count_panel,build_count_foam,build_count_slag,build_count_mix,raion_build_count_with_builddate_info,build_count_before_1920,build_count_1921-1945,build_count_1946-1970,build_count_1971-1995,build_count_after_1995,ID_metro,metro_min_avto,metro_km_avto,metro_min_walk,metro_km_walk,kindergarten_km,school_km,park_km,green_zone_km,industrial_km,water_treatment_km,cemetery_km,incineration_km,railroad_station_walk_km,railroad_station_walk_min,ID_railroad_station_walk,railroad_station_avto_km,railroad_station_avto_min,ID_railroad_station_avto,public_transport_station_km,public_transport_station_min_walk,water_km,water_1line,mkad_km,ttk_km,sadovoe_km,bulvar_ring_km,kremlin_km,big_road1_km,ID_big_road1,big_road1_1line,big_road2_km,ID_big_road2,railroad_km,railroad_1line,zd_vokzaly_avto_km,ID_railroad_terminal,bus_terminal_avto_km,ID_bus_terminal,oil_chemistry_km,nuclear_reactor_km,radiation_km,power_transmission_line_km,thermal_power_plant_km,ts_km,big_market_km,market_shop_km,fitness_km,swim_pool_km,ice_rink_km,stadium_km,basketball_km,hospice_morgue_km,detention_facility_km,public_healthcare_km,university_km,workplaces_km,shopping_centers_km,office_km,additional_education_km,preschool_km,big_church_km,church_synagogue_km,mosque_km,theater_km,museum_km,exhibition_km,catering_km,ecology,green_part_500,prom_part_500,office_count_500,office_sqm_500,trc_count_500,trc_sqm_500,cafe_count_500,cafe_count_500_na_price,cafe_count_500_price_500,cafe_count_500_price_1000,cafe_count_500_price_1500,cafe_count_500_price_2500,cafe_count_500_price_4000,big_church_count_500,church_count_500,leisure_count_500,sport_count_500,market_count_500,green_part_1000,prom_part_1000,office_count_1000,office_sqm_1000,trc_count_1000,trc_sqm_1000,cafe_count_1000,cafe_sum_1000_min_price_avg,cafe_sum_1000_max_price_avg,cafe_avg_price_1000,cafe_count_1000_na_price,cafe_count_1000_price_500,cafe_count_1000_price_1000,cafe_count_1000_price_1500,cafe_count_1000_price_2500,cafe_count_1000_price_4000,big_church_count_1000,church_count_1000,leisure_count_1000,sport_count_1000,market_count_1000,green_part_1500,prom_part_1500,office_count_1500,office_sqm_1500,trc_count_1500,trc_sqm_1500,cafe_count_1500,cafe_sum_1500_min_price_avg,cafe_sum_1500_max_price_avg,cafe_avg_price_1500,cafe_count_1500_na_price,cafe_count_1500_price_500,cafe_count_1500_price_1000,cafe_count_1500_price_1500,cafe_count_1500_price_2500,cafe_count_1500_price_4000,cafe_count_1500_price_high,big_church_count_1500,church_count_1500,leisure_count_1500,sport_count_1500,market_count_1500,green_part_2000,prom_part_2000,office_count_2000,office_sqm_2000,trc_count_2000,trc_sqm_2000,cafe_count_2000,cafe_sum_2000_min_price_avg,cafe_sum_2000_max_price_avg,cafe_avg_price_2000,cafe_count_2000_na_price,cafe_count_2000_price_500,cafe_count_2000_price_1000,cafe_count_2000_price_1500,cafe_count_2000_price_2500,cafe_count_2000_price_4000,cafe_count_2000_price_high,big_church_count_2000,church_count_2000,mosque_count_2000,leisure_count_2000,sport_count_2000,market_count_2000,green_part_3000,prom_part_3000,office_count_3000,office_sqm_3000,trc_count_3000,trc_sqm_3000,cafe_count_3000,cafe_sum_3000_min_price_avg,cafe_sum_3000_max_price_avg,cafe_avg_price_3000,cafe_count_3000_na_price,cafe_count_3000_price_500,cafe_count_3000_price_1000,cafe_count_3000_price_1500,cafe_count_3000_price_2500,cafe_count_3000_price_4000,cafe_count_3000_price_high,big_church_count_3000,church_count_3000,mosque_count_3000,leisure_count_3000,sport_count_3000,market_count_3000,green_part_5000,prom_part_5000,office_count_5000,office_sqm_5000,trc_count_5000,trc_sqm_5000,cafe_count_5000,cafe_sum_5000_min_price_avg,cafe_sum_5000_max_price_avg,cafe_avg_price_5000,cafe_count_5000_na_price,cafe_count_5000_price_500,cafe_count_5000_price_1000,cafe_count_5000_price_1500,cafe_count_5000_price_2500,cafe_count_5000_price_4000,cafe_count_5000_price_high,big_church_count_5000,church_count_5000,mosque_count_5000,leisure_count_5000,sport_count_5000,market_count_5000,price_doc
17003,2014-04-04,37,19.0,13.0,17.0,1.0,1999.0,1.0,7.0,2.0,Investment,Rjazanskij,6377883.078,101982,0.017855768,0.333891544,5408,4266.0,6,6564,8348.0,6,0,0,0,7,3,no,0,0,1,no,no,no,no,no,no,no,no,83369,37959,45410,12842,6633,6209,62215,30661,31554,26925,8782,18143,5408,2794,2614,6564,3389,3175,14443,7479,6964,16974,8334,8640,11169,5745,5424,324.0,78.0,0.0,0.0,148.0,4.0,93.0,0.0,1.0,0.0,324.0,0.0,4.0,231.0,58.0,31.0,58,2.311466353,1.210055495,17.39960894,1.449967412,0.149162659,0.835343256,2.506019979,0.432615621,0.262739012,7.595789,1.417748,9.489027,2.169204805,26.03045767,46.0,1.775686966,2.556473733,46,0.227509981,2.730119771,1.814421818,no,3.587939411,4.292915326,8.384377309,9.265550424,10.51521862,1.283848121,3,no,3.277495567,21,1.012323406,no,12.65651276,5,3.110699742,3,4.395556915,10.08271402,1.311005755,3.145129432,5.243592482,3.675778999,9.535708832,1.091205287,0.399526845,3.07257938,3.458430359,4.746711389,0.585870851,2.073302192,10.34786749,2.59022755,3.2774652,0.604224448,1.296227507,1.197152042,0.563152892,0.835343256,1.510080274,0.286968194,9.575959643,0.438780433,2.475948,2.636819893,0.235844655,poor,1.16,7.76,0,0,0,0,3,1,0,0,1,1,0,0,2,1,1,0,2.39,19.22,0,0,0,0,16,733.33,1233.33,983.33,1,5,5,3,1,1,0,2,1,3,2,4.09,17.75,1,1100,3,34250,23,677.27,1136.36,906.82,1,8,7,5,1,1,0,0,2,1,7,2,9.69,15.52,2,1100,5,48450,33,684.38,1140.63,912.5,1,13,8,7,3,1,0,1,4,0,1,17,2,20.46,10.58,4,87800,7,66680,46,733.33,1222.22,977.78,1,15,13,11,4,2,0,2,9,0,4,29,5,16.7,16.16,27,822315,31,990754,110,686.54,1163.46,925.0,6,28,40,26,8,2,0,8,26,0,11,65,15,6400000
17004,2014-04-04,47,27.0,4.0,5.0,2.0,1950.0,2.0,7.0,2.0,Investment,Sokol,3496889.653,57107,0.067926965,0.174739084,2982,1744.0,4,3379,4960.0,6,0,0,0,5,10,no,0,3,9,no,no,no,no,no,no,no,no,57995,26205,31790,6807,3590,3217,36496,18719,17777,13804,4608,9196,2982,1549,1433,3379,1804,1575,7887,4153,3734,12073,5873,6200,5981,3138,2843,335.0,17.0,42.0,14.0,250.0,5.0,5.0,0.0,2.0,0.0,336.0,0.0,110.0,199.0,10.0,17.0,87,2.301187361,1.310028251,10.08466119,0.840388433,0.36830138,0.204620696,0.191734603,0.051227779,0.798685266,18.21588,3.754083,7.743734,2.314333236,27.77199883,40.0,2.314333236,3.358517017,40,0.102146189,1.225754266,0.97348652,no,7.995151069,3.478041415,6.060320861,6.865409926,8.082174789,0.45275111,28,no,0.705542259,14,0.972856107,no,5.709270638,83,2.928215091,5,16.19063547,2.605718332,3.797475107,0.156304021,2.125335743,4.409527181,16.49267701,2.61167217,0.380527531,0.971069877,1.999095405,1.175037508,2.422330228,1.519636322,5.377248816,2.637524967,2.604320482,0.502656585,0.636555337,0.376221863,0.203142027,0.204620696,0.432786493,0.422552248,7.378075705,5.221567648,5.366814958,0.811745642,0.132954076,poor,29.85,0.0,1,6000,0,0,10,0,4,3,2,1,0,1,2,0,3,0,11.2,2.76,7,197422,1,6000,32,714.29,1196.43,955.36,4,10,8,6,3,1,2,3,1,8,0,8.08,9.99,20,589056,3,83000,60,637.74,1075.47,856.6,7,21,16,11,4,1,0,2,4,1,16,1,7.5,10.87,31,838756,9,650556,95,750.0,1250.0,1000.0,9,25,27,23,7,4,0,3,4,0,2,22,2,15.17,14.83,55,1339998,20,1210059,176,712.74,1194.27,953.5,19,53,48,36,14,6,0,5,11,0,2,35,5,14.98,15.54,148,3918401,43,1941670,384,783.48,1302.9,1043.19,39,106,104,80,37,14,4,15,32,0,5,109,14,12000000
17005,2014-04-04,80,45.0,4.0,12.0,1.0,2001.0,3.0,12.0,3.0,Investment,Mar'ino,11754772.16,247469,0.188712765,0.090799103,19223,10175.0,13,19083,21892.0,14,0,5,0,16,16,no,0,15,2,no,no,no,no,no,no,no,yes,165727,75503,90224,40692,20977,19715,161290,79622,81668,45487,12303,33184,19223,9987,9236,19083,9761,9322,45170,23233,21937,35793,17785,18008,36035,18574,17461,352.0,3.0,0.0,0.0,4.0,17.0,328.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,176.0,176.0,43,3.075780024,2.019153769,24.22984523,2.019153769,0.209867679,0.119324926,0.375198398,0.135323738,1.375303294,4.616849,2.124535,10.85261,4.487912787,53.85495344,16.0,4.623967724,6.342373444,16,0.126502765,1.518033184,0.194238258,no,3.602262695,7.997318476,11.61575425,12.8488322,13.74529424,3.602262692,1,no,3.886068549,48,2.415994356,no,15.40179711,5,8.337384258,6,2.447208119,6.325544208,1.349203521,1.059958824,4.015050869,6.856427892,2.496013297,1.960340417,0.253753971,3.674699451,2.307088867,4.221994854,1.997233121,2.594833026,2.212773785,0.76343339,3.046735088,0.950204085,0.121397621,0.966941979,0.609836799,0.119324926,2.098334261,1.792622294,10.06335889,8.437584803,3.828259023,4.303769783,0.887821715,excellent,16.77,0.0,0,0,1,1500,0,0,0,0,0,0,0,0,0,0,1,0,9.27,0.0,1,50000,4,9900,8,566.67,916.67,741.67,2,3,1,2,0,0,0,0,0,4,1,18.94,1.27,1,50000,6,147978,12,550.0,900.0,725.0,2,5,2,3,0,0,0,0,0,0,7,1,17.27,9.73,1,50000,11,582298,26,604.35,1021.74,813.04,3,8,8,6,1,0,0,0,1,0,0,13,1,19.1,16.7,3,65323,20,863608,58,627.78,1055.56,841.67,4,18,18,15,3,0,0,6,10,0,0,29,4,25.54,9.97,6,79623,35,1484610,98,639.77,1079.55,859.66,10,31,29,21,6,1,0,9,24,0,3,52,7,12600000
17006,2014-04-04,32,18.0,7.0,9.0,1.0,1980.0,1.0,6.0,2.0,Investment,Mar'ino,11754772.16,247469,0.188712765,0.090799103,19223,10175.0,13,19083,21892.0,14,0,5,0,16,16,no,0,15,2,no,no,no,no,no,no,no,yes,165727,75503,90224,40692,20977,19715,161290,79622,81668,45487,12303,33184,19223,9987,9236,19083,9761,9322,45170,23233,21937,35793,17785,18008,36035,18574,17461,352.0,3.0,0.0,0.0,4.0,17.0,328.0,0.0,0.0,0.0,352.0,0.0,0.0,0.0,176.0,176.0,89,3.771699295,2.622515336,31.47018403,2.622515336,0.22425085,0.60469711,1.268957097,0.193593478,0.289696035,1.271422,2.26073,7.460618,1.758244933,21.0989392,16.0,1.794816251,2.737075442,16,0.272802216,3.273626586,0.61344367,no,5.706999865,6.721864829,10.03674148,11.59389428,12.28257935,5.706999854,1,no,5.939987148,2,0.46896835,no,15.69935173,5,7.670614146,6,5.88514362,2.467398033,0.903290263,0.78013412,6.722970296,4.267682549,5.850053375,1.714053697,0.634799662,1.413042052,3.532061929,7.739414982,3.222153348,2.572191093,0.492148874,2.846281091,3.59240738,1.797614435,0.634799662,0.624104042,0.063149767,0.60469711,1.616902205,1.195072049,6.230106566,9.872731906,3.826696185,0.97300423,0.585212929,excellent,5.55,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,30.73,1,2700,2,21022,4,300.0,500.0,400.0,1,3,0,0,0,0,0,0,1,3,0,8.12,35.66,1,2700,2,21022,10,457.14,785.71,621.43,3,4,2,1,0,0,0,0,1,1,4,1,7.99,33.15,3,169271,7,240044,28,560.0,960.0,760.0,3,10,9,5,1,0,0,1,5,0,1,13,3,12.97,19.35,4,173023,15,308157,56,592.0,1020.0,806.0,6,17,20,10,3,0,0,5,10,0,1,21,4,19.07,11.01,12,431543,46,1437951,149,644.12,1102.94,873.53,13,42,54,28,10,2,0,9,29,0,7,65,13,4700000
17007,2014-04-04,26,14.0,1.0,9.0,1.0,1972.0,1.0,6.0,2.0,Investment,Veshnjaki,10518366.87,118945,0.334905313,0.012338886,5208,3494.0,6,5776,6766.0,7,0,2,0,7,0,no,0,4,1,no,no,no,no,no,no,no,no,104410,49293,55117,11729,6059,5670,74032,36686,37346,33184,10307,22877,5208,2686,2522,5776,3000,2776,13481,6960,6521,21542,10971,10571,10230,5290,4940,234.0,45.0,0.0,0.0,26.0,2.0,161.0,0.0,0.0,0.0,234.0,0.0,0.0,47.0,171.0,16.0,31,1.550262107,0.915969472,10.99163366,0.915969472,0.118706903,0.619066401,1.023659123,0.660631827,0.738646077,8.044206,1.372835,6.837474,1.207346135,14.48815362,30.0,3.016011413,4.342979656,46,0.155881703,1.870580441,0.865582111,no,1.086127177,6.86096691,10.76049309,11.50211552,12.86812077,1.086127192,1,no,1.461253818,21,0.610054964,no,13.63410477,5,4.026840443,3,5.299488754,12.37395517,1.71184586,1.667869542,6.854831978,2.551338178,8.873746477,0.887513424,1.382504162,1.363948838,3.935029501,7.795762048,0.855900099,1.331158002,10.92690641,1.607937205,2.72056573,2.511864314,0.086569373,1.030115192,1.393864142,0.619066401,1.486478298,1.0992317,10.51415106,1.086772446,1.734854648,1.435583892,0.324667609,poor,0.0,0.0,0,0,3,38423,1,0,0,1,0,0,0,0,0,0,0,0,1.61,4.6,0,0,3,38423,3,600.0,1000.0,800.0,0,1,1,1,0,0,0,0,1,2,2,7.95,4.33,1,111700,5,63153,4,575.0,1000.0,787.5,0,1,2,1,0,0,0,1,3,2,5,2,12.76,4.71,1,111700,5,63153,15,620.0,1033.33,826.67,0,6,4,4,1,0,0,1,4,0,3,9,2,14.6,5.75,1,111700,11,266092,28,655.56,1092.59,874.07,1,9,8,8,2,0,0,3,11,0,5,21,5,21.62,6.47,9,250137,30,625645,106,679.61,1150.49,915.05,3,30,39,25,6,3,0,9,19,0,10,54,12,1000000
17008,2014-04-04,54,30.0,3.0,14.0,1.0,1986.0,2.0,8.0,3.0,Investment,Brateevo,7587523.226,102590,0.398794394,0.0,6273,3420.0,6,5562,7132.0,6,0,0,0,3,1,no,0,5,0,no,no,no,yes,no,yes,no,no,85721,39591,46130,12551,6444,6107,69792,35381,34411,20247,6281,13966,6273,3175,3098,5562,2922,2640,13748,7073,6675,18695,9238,9457,11201,5769,5432,90.0,1.0,0.0,0.0,0.0,5.0,84.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,51.0,39.0,36,3.234224105,1.548496291,18.99329428,1.582774524,0.496586072,0.405287764,0.876199546,0.049384901,2.571117097,4.969614,1.496751,8.089848,5.27700143,63.32401716,16.0,5.281613154,7.900620183,16,0.385905367,4.630864409,0.155776793,no,1.944169564,10.42708502,13.69618045,15.17813832,15.92823499,1.94416955,1,no,4.127966372,23,3.373278057,no,17.42856384,5,3.639447775,6,4.04263723,5.346795206,1.461613205,1.178581603,3.799414688,7.061931114,5.136452787,2.565892863,0.484601317,4.059534015,3.601451964,9.596755766,4.979635853,1.368785764,0.766518303,3.804421451,2.279280519,2.545417093,0.805696721,2.807417565,0.766060985,0.405287764,0.532651511,0.654398634,9.093826792,11.60194402,4.970345516,4.724873533,0.474578711,excellent,30.92,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,27.41,0.0,0,0,3,53100,3,366.67,666.67,516.67,0,2,1,0,0,0,1,1,0,2,0,25.24,0.0,0,0,8,131388,6,600.0,1083.33,841.67,0,2,3,0,1,0,0,1,2,0,7,0,28.08,0.0,0,0,9,163155,7,657.14,1142.86,900.0,0,2,3,1,1,0,0,2,3,0,0,8,0,22.8,0.84,2,54500,17,606431,55,600.0,1010.2,805.1,6,18,16,13,2,0,0,6,8,0,0,24,7,14.74,9.79,7,277523,38,1760746,112,661.0,1120.0,890.5,12,32,36,23,7,2,0,8,14,0,2,46,9,8180000
17009,2014-04-04,47,27.0,7.0,9.0,1.0,1973.0,2.0,6.0,2.0,Investment,Ivanovskoe,10207215.1,122862,0.512707469,0.000169676,6027,2697.0,7,5992,9439.0,8,1,1,0,5,0,no,0,1,0,no,no,no,yes,no,no,no,no,157010,68466,88544,12919,6578,6341,77612,38637,38975,32331,9775,22556,6027,3092,2935,5992,3035,2957,14586,7366,7220,30912,14269,16643,11227,5734,5493,244.0,72.0,0.0,0.0,22.0,7.0,143.0,0.0,0.0,0.0,244.0,0.0,0.0,46.0,185.0,13.0,49,2.361380195,1.558421774,18.17469929,1.514558274,0.096205434,0.255135948,1.296449002,0.042538849,1.421259119,10.97271,1.115628,8.478894,3.395512333,40.746148,31.0,4.021510773,5.316349838,136,0.096788537,1.161462442,0.207657416,no,1.242141764,7.941573447,10.37338234,10.96698071,12.62853942,0.898627491,10,no,1.242141752,1,1.940093243,no,12.5852287,5,10.10339314,3,4.121352518,16.01108772,1.779328339,1.465001374,6.076364128,2.296120121,14.95029918,2.361330201,0.630907498,3.79227357,1.289895398,3.956083972,0.707217211,1.043109918,9.209992099,1.510039192,3.804757587,2.952459056,1.229998009,3.143373093,1.072665431,0.255135948,0.685282532,0.856428938,7.660916406,2.469446346,1.634080258,3.109361116,0.271485291,poor,52.99,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,39.24,0.0,0,0,0,0,3,666.67,1166.67,916.67,0,0,2,1,0,0,1,1,0,4,0,34.06,0.06,0,0,6,375106,14,564.29,1000.0,782.14,0,3,8,3,0,0,0,2,3,0,6,0,28.13,0.07,0,0,6,375106,20,550.0,975.0,762.5,0,5,11,4,0,0,0,3,3,0,3,8,1,30.39,1.81,0,0,12,545023,39,607.89,1052.63,830.26,1,12,17,7,1,1,0,4,4,0,4,13,1,28.7,4.79,11,259574,22,650580,91,663.64,1130.68,897.16,3,23,37,22,4,2,0,7,13,0,8,52,8,6400000
17010,2014-04-04,45,28.0,7.0,9.0,1.0,1968.0,2.0,6.0,2.0,Investment,Kon'kovo,7811375.434,153248,0.127002383,0.135649789,7517,2627.0,5,7960,9650.0,5,0,3,0,11,3,no,0,11,6,no,no,no,yes,no,no,no,no,123000,58226,64774,16468,8851,7617,100062,55456,44606,36718,11958,24760,7517,4062,3455,7960,4280,3680,19439,10398,9041,24753,13005,11748,14528,7865,6663,314.0,44.0,0.0,0.0,7.0,3.0,260.0,0.0,0.0,0.0,315.0,0.0,0.0,156.0,126.0,33.0,35,2.733903785,1.750589703,20.82351667,1.735293056,0.142016581,0.504465319,2.509419913,0.433960187,0.151794374,8.621686,4.897382,7.523662,8.865158314,106.3818998,42.0,8.781620688,11.67050522,42,0.153673897,1.844086769,0.448766931,no,4.675905194,7.43750786,10.40512692,11.59065542,12.31771285,2.848426166,16,no,4.675905197,1,5.121045235,no,13.60137408,32,5.967418035,8,16.80025687,6.421251721,1.62278673,1.04582179,6.732383881,3.305390308,3.024716238,1.028360724,0.687169906,2.057557106,3.139431338,3.885622488,3.932567566,2.065233797,20.89228092,0.474153931,1.715705712,3.566352715,0.351460898,0.327151683,1.442607763,0.504465319,2.509419913,0.64206301,2.235848753,4.487982912,5.206917074,0.992423994,0.523967978,satisfactory,0.54,31.56,1,20000,1,2354,0,0,0,0,0,0,0,0,0,0,0,0,11.33,28.99,4,223102,6,101554,8,628.57,1000.0,814.29,1,3,1,3,0,0,0,3,1,4,1,20.95,22.29,10,454828,8,159554,28,584.62,980.77,782.69,2,9,9,8,0,0,0,0,5,1,7,2,28.1,17.48,16,638434,13,199554,42,632.5,1087.5,860.0,2,11,17,9,3,0,0,0,7,0,1,10,2,36.0,8.38,21,857208,23,548150,109,703.81,1190.48,947.14,4,23,42,30,9,1,0,3,19,1,1,27,3,29.18,4.31,47,1785694,49,1394626,334,689.62,1157.23,923.43,16,91,108,88,29,1,1,7,37,2,5,79,12,7400000
17011,2014-04-04,39,23.0,12.0,14.0,5.0,1970.0,2.0,6.0,2.0,Investment,Rostokino,3497818.591,37502,0.146940785,0.210473241,2334,1040.0,1,2398,2260.0,2,0,3,1,8,5,no,0,0,2,no,no,no,no,no,no,no,no,175518,82886,92632,5074,2551,2523,22837,11618,11219,9591,2936,6655,2334,1175,1159,2398,1207,1191,5652,2877,2775,35541,17988,17553,4480,2252,2228,152.0,46.0,0.0,0.0,84.0,8.0,14.0,0.0,0.0,0.0,152.0,0.0,2.0,118.0,23.0,9.0,52,3.01858101,1.394019748,16.72823698,1.394019748,0.118434253,0.613318541,0.041264824,0.249012407,0.740508667,17.97912,1.719427,6.355759,0.510790425,6.129485097,43.0,0.539045808,1.338908214,43,0.030285077,0.363420927,0.341608872,no,6.89077394,4.150593999,6.664390359,7.314370812,8.874241578,0.698579255,20,no,2.243750575,15,0.417379314,no,6.257971368,101,9.744493925,4,10.43969753,8.49945419,1.272501552,0.829199078,6.703780006,1.433772812,10.23251536,3.876519036,0.694536962,3.035690047,2.83960803,5.729737296,1.092285577,0.262094757,6.481548479,2.63807229,2.562539172,1.346828294,1.690121739,0.407436166,0.500668099,0.613318541,1.45875968,0.258173342,5.354740158,0.913904193,3.150097251,0.716209624,0.505921386,poor,22.93,0.0,1,20000,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34.56,2.81,1,20000,0,0,5,600.0,1100.0,850.0,0,0,4,1,0,0,0,2,2,4,0,38.14,12.95,2,32700,0,0,21,973.68,1631.58,1302.63,2,5,5,2,5,2,0,1,2,2,8,1,42.27,13.45,7,157850,3,505000,45,795.24,1333.33,1064.29,3,13,12,8,7,2,0,2,5,0,2,13,1,40.07,11.74,19,457493,7,769699,88,736.47,1252.94,994.71,3,27,28,13,15,2,0,3,8,0,2,31,2,34.58,12.02,60,1027140,34,1515111,212,704.02,1188.44,946.23,13,67,61,40,28,3,0,12,28,0,7,92,4,7100000
17012,2014-04-04,52,30.0,9.0,12.0,1.0,1983.0,2.0,8.0,2.0,Investment,Kuncevo,52351766.54,142462,0.070662054,0.035145267,9347,4050.0,7,9292,11234.0,8,0,0,0,5,2,no,0,3,3,no,no,no,yes,no,no,no,no,78507,37052,41455,19784,10339,9445,85551,43352,42199,37127,11024,26103,9347,4806,4541,9292,4919,4373,22071,11484,10587,15929,8541,7388,17469,9082,8387,737.0,68.0,204.0,14.0,237.0,21.0,180.0,2.0,10.0,1.0,738.0,47.0,88.0,413.0,94.0,96.0,13,2.559063801,1.908403598,22.90084318,1.908403598,0.088373692,0.876491183,2.544432946,0.253690296,0.240792733,18.42016,2.131362,18.01637,0.568168248,6.81801898,10.0,0.628930206,0.881374617,10,0.156044842,1.872538103,0.977891056,no,1.879906941,7.966311075,11.03580273,12.08245376,12.94879754,1.196263395,9,no,1.826855824,33,0.133644973,no,11.90579736,50,16.88626594,1,22.16828777,8.517134869,0.120457343,1.259845871,4.41778007,1.433543039,18.33814219,6.85149639,0.640870591,1.768742013,9.226855491,7.888967496,4.771825304,1.558480441,5.206118415,3.302312955,7.878303035,0.914340414,0.611937364,0.88919314,2.726853298,0.876491183,0.737395776,0.689647733,5.520396857,7.178349002,6.723321866,2.48546033,0.363992496,satisfactory,1.18,8.48,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.4,19.49,1,75462,1,16000,3,600.0,1000.0,800.0,0,1,1,1,0,0,1,1,0,5,0,2.49,17.13,3,329704,6,374580,14,621.43,1035.71,828.57,0,4,5,5,0,0,0,1,1,0,8,0,9.51,11.63,7,433547,8,837086,25,716.67,1187.5,952.08,1,4,9,10,1,0,0,3,3,0,0,11,0,18.62,9.36,15,779354,16,951447,39,840.54,1391.89,1116.22,2,7,12,12,4,2,0,5,6,0,2,23,0,23.3,7.93,19,929333,28,1228892,113,1019.42,1684.47,1351.94,10,20,30,22,17,13,1,8,16,0,2,49,0,8000000
