Страны;Месяц;Азотные;Калийные;Прочие
Дальнего зарубежья;август;192,07999999999998;121,84;179,12
Дальнего зарубежья;апрель;191,48000000000002;159,42000000000002;211,18
Дальнего зарубежья;декабрь;257,65999999999997;257,41999999999996;263,66
Дальнего зарубежья;июль;174,2;138,07999999999998;197,68
Дальнего зарубежья;июнь;258,88;275,06;248,98000000000002
Дальнего зарубежья;май;202,23999999999998;179,07999999999998;218,08
Дальнего зарубежья;март;252,35999999999999;334,06;290,6
Дальнего зарубежья;ноябрь;194,44;143,3;159,78
Дальнего зарубежья;октябрь;166,06;158,06;160,24
Дальнего зарубежья;сентябрь;209,76;233,64000000000001;193,32
Дальнего зарубежья;февраль;190,24;213,92;219,44
Дальнего зарубежья;январь;163,76;127,0;205,48000000000002
СНГ (без России);август;14,48;1,06;68,26
СНГ (без России);апрель;37,72;0,72;41,04
СНГ (без России);декабрь;25,68;2,6;34,6
СНГ (без России);июль;15,780000000000001;1,46;43,14
СНГ (без России);июнь;25,0;0,96;28,080000000000002
СНГ (без России);май;25,3;1,28;25,04
СНГ (без России);март;44,519999999999996;1,98;53,94
СНГ (без России);ноябрь;18,84;1,1400000000000001;32,760000000000005
СНГ (без России);октябрь;17,3;3,2399999999999998;32,96
СНГ (без России);сентябрь;21,7;1,34;61,720000000000006
СНГ (без России);февраль;26,48;0,86;33,3
СНГ (без России);январь;19,22;0,52;23,740000000000002
