Минеральные удобрения;Страны;Год;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь
Азотные;Дальнего зарубежья;2013;263,9;250,3;255,7;299,6;246,4;315,7;215,1;270,5;190,6;178,7;213,4;276,6
Калийные;Дальнего зарубежья;2013;93,5;294,6;200,6;181,2;193,4;163,5;179,0;116,3;253,0;156,8;205,8;141,0
Прочие;Дальнего зарубежья;2013;406,7;208,2;308,4;299,3;233,1;226,1;271,1;235,6;231,5;211,1;181,2;267,2
Азотные;СНГ (без России);2013;9,5;22,9;45,3;75,6;38,9;33,8;35,2;22,6;20,4;16,5;29,8;31,0
Калийные;СНГ (без России);2013;0,5;1,3;0,9;0,7;0,7;1,3;1,0;0,6;1,6;0,9;0,9;0,8
Прочие;СНГ (без России);2013;19,8;40,1;87,4;73,0;29,9;23,0;38,1;62,6;58,7;23,0;20,7;15,8
Азотные;Дальнего зарубежья;2014;180,0;189,6;303,9;217,5;324,4;292,9;238,1;224,3;277,4;204,2;226,6;291,3
Калийные;Дальнего зарубежья;2014;171,8;178,0;291,5;286,6;144,4;159,9;235,3;199,1;241,0;208,7;193,4;359,9
Прочие;Дальнего зарубежья;2014;191,6;213,6;200,4;234,2;296,4;254,5;228,2;169,3;177,3;171,0;196,9;317,8
Азотные;СНГ (без России);2014;24,2;35,0;47,3;42,4;18,7;9,7;9,5;12,7;16,5;19,2;15,4;23,3
Калийные;СНГ (без России);2014;0,8;1,5;0,9;1,4;1,2;0,9;3,0;1,0;1,1;10,0;0,8;8,5
Прочие;СНГ (без России);2014;22,0;33,7;42,4;31,4;8,9;23,2;41,9;52,7;68,2;21,9;19,2;22,9
Азотные;Дальнего зарубежья;2015;136,4;240,3;239,2;165,4;165,5;268,6;151,0;158,7;236,6;179,2;211,3;255,8
Калийные;Дальнего зарубежья;2015;189,8;279,4;580,8;149,1;377,4;328,2;211,8;95,1;275,4;244,3;68,0;136,7
Прочие;Дальнего зарубежья;2015;176,3;238,2;433,5;179,3;217,8;327,5;170,8;166,2;297,8;149,1;138,7;290,6
Азотные;СНГ (без России);2015;18,3;26,9;30,2;19,5;17,8;23,2;9,7;8,2;31,8;24,8;16,6;36,0
Калийные;СНГ (без России);2015;0,4;0,5;5,8;0,6;3,6;0,5;1,4;0,5;2,3;3,1;1,5;1,7
Прочие;СНГ (без России);2015;23,7;24,7;39,5;29,5;15,1;28,4;53,7;74,4;64,6;25,1;31,4;26,2
Азотные;Дальнего зарубежья;2016;111,3;180,3;221,7;135,3;135,3;226,9;133,9;154,0;132,2;131,0;141,9;190,7
Калийные;Дальнего зарубежья;2016;105,7;258,2;334,4;57,8;57,8;262,8;60,3;57,2;252,5;24,8;91,4;235,4
Прочие;Дальнего зарубежья;2016;146,6;221,8;266,3;174,6;174,6;226,0;154,2;146,0;115,9;123,4;165,4;183,1
Азотные;СНГ (без России);2016;17,6;21,7;38,0;16,2;16,2;16,9;12,0;13,9;15,9;7,7;23,6;26,2
Калийные;СНГ (без России);2016;0,6;0,8;1,3;0,6;0,6;0,9;0,8;2,3;0,9;1,6;0,7;1,2
Прочие;СНГ (без России);2016;26,2;26,3;41,9;16,5;16,5;33,6;38,8;71,2;55,7;42,2;29,1;37,5
Азотные;Дальнего зарубежья;2017;127,2;90,7;241,3;139,6;139,6;190,3;132,9;152,9;212,0;137,2;179,0;273,9
Калийные;Дальнего зарубежья;2017;74,2;59,4;263,0;122,4;122,4;460,9;4,0;141,5;146,3;155,7;157,9;414,1
Прочие;Дальнего зарубежья;2017;106,2;215,4;244,4;168,5;168,5;210,8;164,1;178,5;144,1;146,6;116,7;259,6
Азотные;СНГ (без России);2017;26,5;25,9;61,8;34,9;34,9;41,4;12,5;15,0;23,9;18,3;8,8;11,9
Калийные;СНГ (без России);2017;0,3;0,2;1,0;0,3;0,3;1,2;1,1;0,9;0,8;0,6;1,8;0,8
Прочие;СНГ (без России);2017;27,0;41,7;58,5;54,8;54,8;32,2;43,2;80,4;61,4;52,6;63,4;70,6
